ID,C1Q1,C1Q2,C1Q3,C1Q4,C1Q5,C1Q6,C1Q7,C1Q8,C1Q9,C1Q10,C2Q1,C2Q2,C2Q3,C2Q4,C2Q5,C3Q1,C3Q2,C3Q3,C3Q4,C3Q5,C3Q6,C4Q1,C4Q2,C4Q3,C4Q4,C4Q5,C4Q6,C4Q7,C4Q8,C4Q9,C4Q10,C4Q11,C4Q12,C5Q1,C5Q2,C5Q3,C5Q4,C5Q5,How stressed have you been?
1,5,4,1,4,1,4,5,4,1,4,4,4,1,4,4,5,5,4,4,5,4,4,5,4,4,4,5,5,5,5,5,1,5,4,5,5,4,1,10
2,5,5,4,5,5,5,5,5,4,5,4,4,1,5,5,4,4,1,5,1,4,1,1,5,5,5,5,5,4,5,5,4,4,5,4,5,4,1,10
3,5,4,4,1,4,4,4,4,4,4,5,4,4,4,4,4,5,1,4,5,4,4,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,9
4,4,4,5,4,4,4,4,1,4,1,4,4,4,4,4,4,5,5,5,4,4,4,4,4,1,5,1,4,4,5,4,4,4,5,4,5,5,4,10
5,4,1,4,4,5,5,4,4,5,5,5,4,1,1,4,4,5,5,4,1,1,5,4,5,5,5,4,4,1,5,5,4,4,5,5,4,4,4,10
6,5,4,5,4,1,4,4,1,4,4,4,4,1,1,4,1,5,5,4,5,4,4,4,1,4,5,4,5,4,4,4,4,5,5,5,5,5,4,2
7,1,1,5,1,1,4,4,4,5,1,4,4,4,4,1,5,4,1,4,5,5,5,4,5,4,4,5,5,5,5,5,4,1,5,4,4,5,1,8
8,5,5,4,1,4,4,5,4,4,4,5,4,1,1,4,4,5,5,4,5,4,4,5,4,4,5,5,5,4,1,4,4,5,5,5,5,5,1,5
9,1,5,4,4,4,5,5,4,4,4,4,5,5,5,1,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,1,4,4,5,10
10,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,5,5,4,3
11,5,4,5,4,5,4,4,1,1,4,4,4,4,5,4,4,1,4,1,4,4,1,4,5,5,5,1,4,4,1,4,4,4,4,5,4,5,4,5
12,5,5,4,5,5,4,4,4,5,4,4,4,5,4,5,5,4,5,1,4,5,4,1,5,5,4,5,4,5,1,4,1,4,5,4,4,5,5,10
14,5,1,5,5,4,4,5,1,5,5,4,4,5,4,4,1,4,4,4,4,4,4,4,1,1,4,1,4,5,4,4,4,4,1,4,4,4,5,3
15,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,5,4,4,4,4,4,4,5,1,5,5,4,5,4,4,5,4,1
16,5,1,1,4,1,5,4,4,1,1,1,4,5,5,5,5,4,5,4,5,4,4,5,5,5,4,4,5,5,4,4,5,4,5,4,5,4,4,4
17,1,4,4,4,5,4,4,5,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,1,4,4,4,4,4
18,1,4,5,5,1,5,5,4,4,4,1,4,5,4,5,4,4,5,4,1,4,4,1,5,4,4,5,1,4,1,5,1,1,5,5,1,1,1,5
19,5,1,4,1,4,4,4,5,5,5,1,5,5,5,5,4,5,4,4,1,1,4,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,3
20,5,1,4,5,4,4,4,4,1,5,5,4,4,4,1,4,5,5,4,5,4,5,4,4,4,5,1,4,4,5,4,4,5,5,5,4,4,4,3
21,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,1,4,4,4,4,4,5,5,4,4,4,4,5,4,4,5,5,4,4,1
22,5,5,5,5,4,4,4,4,5,5,1,4,5,5,5,1,5,5,4,5,1,1,5,5,5,5,5,5,1,1,1,4,1,4,4,5,5,5,10
23,5,4,4,5,1,4,4,4,5,5,4,4,1,4,4,4,4,1,1,1,4,4,4,5,4,4,5,1,4,5,4,1,4,5,4,5,4,4,5
26,4,4,4,4,4,4,4,4,4,4,1,4,5,5,4,5,5,4,5,1,1,5,1,1,4,4,5,1,5,5,5,4,5,5,5,5,5,5,2
27,5,4,1,4,1,4,4,4,5,4,4,4,4,1,4,1,5,4,5,5,4,1,4,5,1,4,1,5,5,1,5,4,4,5,4,5,4,1,4
